,pre,stop,vowel,pre_path,stop_path,vowel_path,pre_startTime,pre_endTime,stop_startTime,stop_endTime,vowel_startTime,vowel_endTime,speaker,wuid,phi_type,first_sep_frame,second_sep_frame
0,,K,EY,,4297/13006/0021/4297-13006-0021-0006.flac,4297/13006/0021/4297-13006-0021-0007.flac,0.8013769395872223,,0.89,0.99,0.99,1.11,4297,4297-13006-0021-0002,T,5,11
1,,T,UW,,8630/305212/0006/8630-305212-0006-0046.flac,8630/305212/0006/8630-305212-0006-0047.flac,4.839053784360564,,4.93,5.01,5.01,5.31,8630,8630-305212-0006-0012,T,5,10
2,,T,UW,,909/131044/0019/909-131044-0019-0032.flac,909/131044/0019/909-131044-0019-0033.flac,2.389736461484971,,2.49,2.57,2.57,2.68,909,909-131044-0019-0006,T,6,11
3,,K,AA,,4297/13009/0008/4297-13009-0008-0017.flac,4297/13009/0008/4297-13009-0008-0018.flac,1.0159760693004838,,1.08,1.17,1.17,1.23,4297,4297-13009-0008-0005,T,4,9
4,,T,IH,,103/1240/0013/103-1240-0013-0033.flac,103/1240/0013/103-1240-0013-0034.flac,2.273055614561928,,2.37,2.42,2.42,2.47,103,103-1240-0013-0010,T,6,9
5,,T,AH,,4297/13006/0034/4297-13006-0034-0142.flac,4297/13006/0034/4297-13006-0034-0143.flac,12.108676043283786,,12.16,12.22,12.22,12.28,4297,4297-13006-0034-0034,T,3,6
6,,T,IH,,103/1240/0014/103-1240-0014-0044.flac,103/1240/0014/103-1240-0014-0045.flac,4.265541661642276,,4.33,4.37,4.37,4.41,103,103-1240-0014-0010,T,4,6
7,,T,AH,,103/1241/0039/103-1241-0039-0034.flac,103/1241/0039/103-1241-0039-0035.flac,1.8995520519396327,,1.97,2.0,2.0,2.05,103,103-1241-0039-0011,T,4,6
8,,K,AH,,4297/13009/0012/4297-13009-0012-0010.flac,4297/13009/0012/4297-13009-0012-0011.flac,0.970949395649462,,1.04,1.14,1.14,1.19,4297,4297-13009-0012-0004,T,4,10
9,,K,AH,,103/1240/0041/103-1240-0041-0158.flac,103/1240/0041/103-1240-0041-0159.flac,12.485864156719778,,12.55,12.62,12.62,12.65,103,103-1240-0041-0052,T,4,8
10,,P,ER,,4297/13009/0025/4297-13009-0025-0101.flac,4297/13009/0025/4297-13009-0025-0102.flac,8.948308174550608,,9.07,9.17,9.17,9.25,4297,4297-13009-0025-0028,T,7,13
11,,P,IH,,103/1241/0027/103-1241-0027-0182.flac,103/1241/0027/103-1241-0027-0183.flac,13.667207491323513,,13.79,13.85,13.85,13.94,103,103-1241-0027-0057,T,7,11
12,,P,AA,,909/131041/0024/909-131041-0024-0017.flac,909/131041/0024/909-131041-0024-0018.flac,1.2070299167862075,,1.28,1.36,1.36,1.48,909,909-131041-0024-0005,T,4,9
13,,T,UW,,8630/305213/0021/8630-305213-0021-0086.flac,8630/305213/0021/8630-305213-0021-0087.flac,11.228319293879448,,11.3,11.43,11.43,11.79,8630,8630-305213-0021-0026,T,4,12
14,,K,AA,,4297/13006/0007/4297-13006-0007-0130.flac,4297/13006/0007/4297-13006-0007-0131.flac,11.653479397327537,,11.72,11.84,11.84,11.91,4297,4297-13006-0007-0036,T,4,11
15,,T,IH,,103/1241/0033/103-1241-0033-0174.flac,103/1241/0033/103-1241-0033-0175.flac,12.58265591666573,,12.65,12.7,12.7,12.73,103,103-1241-0033-0049,T,4,7
16,,P,AA,,4481/17498/0006/4481-17498-0006-0110.flac,4481/17498/0006/4481-17498-0006-0111.flac,8.987774336614844,,9.07,9.17,9.17,9.23,4481,4481-17498-0006-0023,T,5,11
17,,T,AH,,909/131041/0028/909-131041-0028-0155.flac,909/131041/0028/909-131041-0028-0156.flac,12.819150553387368,,12.9,12.95,12.95,13.02,909,909-131041-0028-0039,T,5,8
18,,T,EY,,8630/305212/0015/8630-305212-0015-0079.flac,8630/305212/0015/8630-305212-0015-0080.flac,7.22897535189311,,7.36,7.43,7.43,7.53,8630,8630-305212-0015-0019,T,8,12
19,,T,IH,,4481/17499/0011/4481-17499-0011-0168.flac,4481/17499/0011/4481-17499-0011-0169.flac,13.439864256494293,,13.55,13.65,13.65,13.7,4481,4481-17499-0011-0039,T,6,13
